Transaction ID,Company,City,KM Travelled,Price Charged,Cost of Trip,Population,Users,Customer ID,Payment_Mode,Gender,Age,Income (USD/Month),date,holiday
10007768,Yellow Cab,BOSTON MA,9.6,145.01,138.24," 248,968 "," 80,021 ",59293,Cash,Female,43,11199,2016-02-15,Family Day
10007776,Yellow Cab,BOSTON MA,33.0,523.89,451.44," 248,968 "," 80,021 ",58270,Cash,Male,18,7287,2016-02-15,Family Day
10007777,Yellow Cab,BOSTON MA,28.08,476.08,387.504," 248,968 "," 80,021 ",58483,Card,Male,26,3970,2016-02-15,Family Day
10007788,Yellow Cab,BOSTON MA,26.75,420.55,359.52," 248,968 "," 80,021 ",59059,Card,Male,29,2019,2016-02-15,Family Day
10007789,Yellow Cab,BOSTON MA,4.24,61.43,50.88," 248,968 "," 80,021 ",57564,Cash,Female,33,5158,2016-02-15,Family Day
10007790,Yellow Cab,BOSTON MA,38.38,532.4,534.2496," 248,968 "," 80,021 ",58514,Card,Female,35,4353,2016-02-15,Family Day
10007818,Yellow Cab,CHICAGO IL,10.08,160.99,139.104," 1,955,130 "," 164,468 ",5839,Card,Male,38,9592,2016-02-15,Family Day
10007889,Yellow Cab,CHICAGO IL,18.24,339.87,249.5232," 1,955,130 "," 164,468 ",5953,Cash,Female,20,10893,2016-02-15,Family Day
10007923,Yellow Cab,CHICAGO IL,34.8,586.68,459.36," 1,955,130 "," 164,468 ",4473,Card,Female,62,8148,2016-02-15,Family Day
10007926,Yellow Cab,CHICAGO IL,27.3,445.71,380.016," 1,955,130 "," 164,468 ",5799,Card,Female,19,23947,2016-02-15,Family Day
10007937,Yellow Cab,CHICAGO IL,30.07,501.61,368.0568," 1,955,130 "," 164,468 ",5593,Cash,Male,27,17092,2016-02-15,Family Day
10007947,Yellow Cab,CHICAGO IL,9.09,150.02,127.6236," 1,955,130 "," 164,468 ",5174,Cash,Female,26,11516,2016-02-15,Family Day
10007977,Yellow Cab,CHICAGO IL,31.36,528.69,440.2944," 1,955,130 "," 164,468 ",4867,Cash,Female,37,14855,2016-02-15,Family Day
10008012,Yellow Cab,CHICAGO IL,40.8,796.44,499.392," 1,955,130 "," 164,468 ",4785,Cash,Male,40,19479,2016-02-15,Family Day
10008015,Yellow Cab,CHICAGO IL,11.4,222.54,147.744," 1,955,130 "," 164,468 ",4486,Card,Female,56,22855,2016-02-15,Family Day
10008027,Yellow Cab,CHICAGO IL,26.6,486.21,383.04," 1,955,130 "," 164,468 ",4063,Card,Female,25,25920,2016-02-15,Family Day
10008059,Yellow Cab,DENVER CO,23.0,459.48,281.52," 754,233 "," 12,421 ",31623,Card,Male,22,17411,2016-02-15,Family Day
10008080,Yellow Cab,LOS ANGELES CA,36.36,853.06,488.6784," 1,595,037 "," 144,132 ",6826,Card,Female,20,3282,2016-02-15,Family Day
10008100,Yellow Cab,LOS ANGELES CA,39.96,775.59,546.6528," 1,595,037 "," 144,132 ",6860,Card,Male,25,5755,2016-02-15,Family Day
10008133,Yellow Cab,LOS ANGELES CA,38.94,805.63,485.9712," 1,595,037 "," 144,132 ",7660,Card,Female,30,30541,2016-02-15,Family Day
10008137,Yellow Cab,LOS ANGELES CA,25.48,586.93,348.5664," 1,595,037 "," 144,132 ",6225,Card,Male,39,15108,2016-02-15,Family Day
10008148,Yellow Cab,LOS ANGELES CA,34.72,703.51,449.9712," 1,595,037 "," 144,132 ",6868,Card,Female,60,18897,2016-02-15,Family Day
10008181,Yellow Cab,MIAMI FL,30.24,619.1,362.88," 1,339,155 "," 17,675 ",11614,Card,Female,25,26955,2016-02-15,Family Day
10008198,Yellow Cab,NEW YORK NY,8.72,288.94,120.336," 8,405,837 "," 302,149 ",464,Cash,Male,23,2734,2016-02-15,Family Day
10008220,Yellow Cab,NEW YORK NY,12.87,348.91,162.162," 8,405,837 "," 302,149 ",111,Card,Male,22,14957,2016-02-15,Family Day
10008228,Yellow Cab,NEW YORK NY,44.03,1313.05,554.778," 8,405,837 "," 302,149 ",2585,Cash,Male,32,8224,2016-02-15,Family Day
10008272,Yellow Cab,NEW YORK NY,16.64,456.13,215.6544," 8,405,837 "," 302,149 ",741,Card,Male,35,17486,2016-02-15,Family Day
10008274,Yellow Cab,NEW YORK NY,7.0,219.29,92.4," 8,405,837 "," 302,149 ",769,Cash,Male,63,29758,2016-02-15,Family Day
10008305,Yellow Cab,NEW YORK NY,33.06,906.23,440.3592," 8,405,837 "," 302,149 ",1498,Cash,Male,35,34558,2016-02-15,Family Day
10008320,Yellow Cab,NEW YORK NY,23.98,664.56,319.4136," 8,405,837 "," 302,149 ",780,Card,Male,29,23291,2016-02-15,Family Day
10008344,Yellow Cab,NEW YORK NY,36.75,1007.38,515.97," 8,405,837 "," 302,149 ",1361,Card,Female,28,6537,2016-02-15,Family Day
10008365,Yellow Cab,NEW YORK NY,34.68,981.98,453.6144," 8,405,837 "," 302,149 ",1625,Cash,Male,28,10865,2016-02-15,Family Day
10008377,Yellow Cab,NEW YORK NY,28.89,887.65,409.0824," 8,405,837 "," 302,149 ",2646,Card,Female,40,14680,2016-02-15,Family Day
10008379,Yellow Cab,NEW YORK NY,13.3,420.67,165.984," 8,405,837 "," 302,149 ",1306,Cash,Male,23,13630,2016-02-15,Family Day
10008383,Yellow Cab,NEW YORK NY,3.15,91.09,41.202," 8,405,837 "," 302,149 ",2649,Card,Female,64,22521,2016-02-15,Family Day
10008439,Yellow Cab,NEW YORK NY,37.76,1035.07,543.744," 8,405,837 "," 302,149 ",1022,Card,Male,20,22359,2016-02-15,Family Day
10008447,Yellow Cab,NEW YORK NY,8.72,281.06,111.9648," 8,405,837 "," 302,149 ",1947,Cash,Female,33,21909,2016-02-15,Family Day
10008466,Yellow Cab,NEW YORK NY,11.44,365.28,151.008," 8,405,837 "," 302,149 ",795,Cash,Male,20,16505,2016-02-15,Family Day
10008492,Yellow Cab,NEW YORK NY,41.3,1219.19,530.292," 8,405,837 "," 302,149 ",2811,Cash,Male,42,12388,2016-02-15,Family Day
10008509,Yellow Cab,NEW YORK NY,35.84,1036.42,477.3888," 8,405,837 "," 302,149 ",1489,Card,Male,34,15966,2016-02-15,Family Day
10008515,Yellow Cab,NEW YORK NY,2.4,66.51,29.376," 8,405,837 "," 302,149 ",2230,Card,Male,43,6490,2016-02-15,Family Day
10008522,Yellow Cab,NEW YORK NY,5.45,178.94,75.864," 8,405,837 "," 302,149 ",1069,Cash,Male,37,4123,2016-02-15,Family Day
10008796,Yellow Cab,SEATTLE WA,27.0,445.2,349.92," 671,238 "," 25,063 ",38970,Card,Male,62,5267,2016-02-15,Family Day
10008805,Yellow Cab,SEATTLE WA,38.08,634.58,507.2256," 671,238 "," 25,063 ",36246,Card,Male,30,6192,2016-02-15,Family Day
10008820,Yellow Cab,SEATTLE WA,28.32,531.55,363.6288," 671,238 "," 25,063 ",37021,Card,Female,18,32467,2016-02-15,Family Day
10008836,Yellow Cab,SILICON VALLEY,12.72,319.7,167.904," 1,177,609 "," 27,247 ",14704,Cash,Male,23,6973,2016-02-15,Family Day
10008844,Yellow Cab,WASHINGTON DC,9.36,172.67,126.9216," 418,859 "," 127,001 ",52145,Card,Male,41,9665,2016-02-15,Family Day
10008858,Yellow Cab,WASHINGTON DC,32.96,569.35,415.296," 418,859 "," 127,001 ",52529,Card,Male,54,25385,2016-02-15,Family Day
10008907,Yellow Cab,WASHINGTON DC,39.0,634.44,542.88," 418,859 "," 127,001 ",52263,Cash,Female,39,9830,2016-02-15,Family Day
10008920,Yellow Cab,WASHINGTON DC,23.76,394.49,333.5904," 418,859 "," 127,001 ",53941,Card,Male,39,20880,2016-02-15,Family Day
10008933,Yellow Cab,WASHINGTON DC,20.2,311.67,286.032," 418,859 "," 127,001 ",51853,Card,Female,24,17675,2016-02-15,Family Day
10008974,Yellow Cab,WASHINGTON DC,41.07,619.9,556.9092," 418,859 "," 127,001 ",53593,Cash,Female,19,8643,2016-02-15,Family Day
10009020,Yellow Cab,WASHINGTON DC,16.66,268.22,213.9144," 418,859 "," 127,001 ",52025,Card,Female,21,22606,2016-02-15,Family Day
10009050,Yellow Cab,WASHINGTON DC,40.32,669.43,517.7088," 418,859 "," 127,001 ",51162,Card,Female,18,13073,2016-02-15,Family Day
10009106,Pink Cab,CHICAGO IL,32.4,557.25,388.8," 1,955,130 "," 164,468 ",4509,Cash,Male,22,25733,2016-02-15,Family Day
10009149,Pink Cab,LOS ANGELES CA,38.08,574.98,453.152," 1,595,037 "," 144,132 ",8649,Card,Female,28,10691,2016-02-15,Family Day
10009203,Pink Cab,NASHVILLE TN,4.68,56.39,47.736," 327,225 "," 9,270 ",56646,Cash,Male,33,29418,2016-02-15,Family Day
10009542,Yellow Cab,BOSTON MA,2.34,45.39,28.3608," 248,968 "," 80,021 ",58313,Cash,Female,34,8076,2016-02-15,Family Day
10009554,Yellow Cab,BOSTON MA,7.76,154.88,96.8448," 248,968 "," 80,021 ",58981,Card,Male,40,11899,2016-02-15,Family Day
10009600,Yellow Cab,BOSTON MA,27.04,554.82,376.3968," 248,968 "," 80,021 ",59024,Card,Female,28,15587,2016-02-15,Family Day
10009643,Yellow Cab,CHICAGO IL,23.98,383.94,310.7808," 1,955,130 "," 164,468 ",5087,Cash,Female,31,18020,2016-02-15,Family Day
10009665,Yellow Cab,CHICAGO IL,12.43,176.48,174.5172," 1,955,130 "," 164,468 ",4476,Card,Female,61,19320,2016-02-15,Family Day
10009701,Yellow Cab,CHICAGO IL,15.82,219.84,222.1128," 1,955,130 "," 164,468 ",5903,Card,Female,20,12343,2016-02-15,Family Day
10009762,Yellow Cab,CHICAGO IL,10.5,158.6,128.52," 1,955,130 "," 164,468 ",5099,Card,Male,24,8497,2016-02-15,Family Day
10009783,Yellow Cab,CHICAGO IL,17.46,242.63,230.472," 1,955,130 "," 164,468 ",3944,Cash,Female,33,25014,2016-02-15,Family Day
10009897,Yellow Cab,LOS ANGELES CA,34.88,687.17,431.1168," 1,595,037 "," 144,132 ",7772,Card,Male,32,4118,2016-02-15,Family Day
10010065,Yellow Cab,NEW YORK NY,35.34,1088.24,453.7656," 8,405,837 "," 302,149 ",668,Card,Female,27,18222,2016-02-15,Family Day
10010103,Yellow Cab,NEW YORK NY,43.29,1444.14,519.48," 8,405,837 "," 302,149 ",652,Card,Female,29,17153,2016-02-15,Family Day
10010154,Yellow Cab,NEW YORK NY,44.46,1540.22,565.5312," 8,405,837 "," 302,149 ",28,Card,Male,25,6808,2016-02-15,Family Day
10010218,Yellow Cab,NEW YORK NY,34.41,1136.87,425.3076," 8,405,837 "," 302,149 ",1137,Cash,Male,51,24100,2016-02-15,Family Day
10010229,Yellow Cab,NEW YORK NY,5.4,190.54,69.336," 8,405,837 "," 302,149 ",864,Cash,Female,40,19687,2016-02-15,Family Day
10010256,Yellow Cab,NEW YORK NY,32.2,929.58,432.768," 8,405,837 "," 302,149 ",377,Card,Male,25,22945,2016-02-15,Family Day
10010258,Yellow Cab,NEW YORK NY,7.28,249.86,93.4752," 8,405,837 "," 302,149 ",1641,Cash,Male,40,29721,2016-02-15,Family Day
10010627,Yellow Cab,SEATTLE WA,3.03,44.49,37.4508," 671,238 "," 25,063 ",36320,Cash,Female,20,18424,2016-02-15,Family Day
10010648,Yellow Cab,SILICON VALLEY,35.0,682.64,478.8," 1,177,609 "," 27,247 ",12090,Card,Male,37,3426,2016-02-15,Family Day
10010720,Yellow Cab,WASHINGTON DC,31.08,609.07,428.904," 418,859 "," 127,001 ",52568,Card,Male,27,31296,2016-02-15,Family Day
10010752,Yellow Cab,WASHINGTON DC,39.2,678.69,493.92," 418,859 "," 127,001 ",51281,Card,Male,21,21088,2016-02-15,Family Day
10010765,Yellow Cab,WASHINGTON DC,32.76,660.69,393.12," 418,859 "," 127,001 ",52267,Cash,Female,38,34929,2016-02-15,Family Day
10010798,Yellow Cab,WASHINGTON DC,16.32,279.45,209.5488," 418,859 "," 127,001 ",53560,Cash,Male,34,21129,2016-02-15,Family Day
10010810,Yellow Cab,WASHINGTON DC,5.7,98.69,73.188," 418,859 "," 127,001 ",52776,Card,Male,21,7611,2016-02-15,Family Day
10018314,Pink Cab,BOSTON MA,13.92,149.18,147.552," 248,968 "," 80,021 ",58141,Cash,Male,41,19227,2016-03-25,Good Friday
10018321,Pink Cab,BOSTON MA,6.66,67.81,74.592," 248,968 "," 80,021 ",58730,Card,Male,25,19298,2016-03-25,Good Friday
10018324,Pink Cab,BOSTON MA,16.1,163.92,191.59," 248,968 "," 80,021 ",58638,Card,Female,28,2385,2016-03-25,Good Friday
10018332,Pink Cab,CHICAGO IL,31.36,409.04,338.688," 1,955,130 "," 164,468 ",3833,Card,Female,38,7193,2016-03-25,Good Friday
10018333,Pink Cab,CHICAGO IL,23.98,312.78,242.198," 1,955,130 "," 164,468 ",3967,Card,Male,29,19556,2016-03-25,Good Friday
10018336,Pink Cab,CHICAGO IL,30.24,370.53,305.424," 1,955,130 "," 164,468 ",3547,Card,Male,47,22778,2016-03-25,Good Friday
10018352,Pink Cab,CHICAGO IL,9.72,131.91,110.808," 1,955,130 "," 164,468 ",4561,Cash,Male,43,15082,2016-03-25,Good Friday
10018360,Pink Cab,CHICAGO IL,25.52,329.51,301.136," 1,955,130 "," 164,468 ",3099,Card,Male,35,9786,2016-03-25,Good Friday
10018372,Pink Cab,DALLAS TX,38.61,357.7,416.988," 942,908 "," 22,157 ",26813,Cash,Male,21,3626,2016-03-25,Good Friday
10018374,Pink Cab,DALLAS TX,17.34,165.37,204.612," 942,908 "," 22,157 ",25968,Card,Male,57,22512,2016-03-25,Good Friday
10018377,Pink Cab,DENVER CO,4.75,40.43,56.525," 754,233 "," 12,421 ",32952,Card,Male,60,21017,2016-03-25,Good Friday
10018384,Pink Cab,LOS ANGELES CA,44.08,603.41,493.696," 1,595,037 "," 144,132 ",8353,Card,Female,60,13864,2016-03-25,Good Friday
10018392,Pink Cab,LOS ANGELES CA,22.0,316.84,239.8," 1,595,037 "," 144,132 ",8074,Card,Male,46,13429,2016-03-25,Good Friday
10018395,Pink Cab,LOS ANGELES CA,31.5,440.19,378.0," 1,595,037 "," 144,132 ",7429,Cash,Male,31,20605,2016-03-25,Good Friday
10018405,Pink Cab,LOS ANGELES CA,46.4,635.17,524.32," 1,595,037 "," 144,132 ",7810,Card,Female,32,8371,2016-03-25,Good Friday
10018408,Pink Cab,LOS ANGELES CA,33.17,454.06,391.406," 1,595,037 "," 144,132 ",8174,Cash,Female,31,16641,2016-03-25,Good Friday
10018413,Pink Cab,LOS ANGELES CA,2.2,33.88,22.0," 1,595,037 "," 144,132 ",8284,Card,Male,29,10898,2016-03-25,Good Friday
10018423,Pink Cab,LOS ANGELES CA,8.32,130.5,84.864," 1,595,037 "," 144,132 ",6431,Card,Male,31,20130,2016-03-25,Good Friday
10018424,Pink Cab,LOS ANGELES CA,12.6,170.68,133.56," 1,595,037 "," 144,132 ",8697,Card,Female,20,20749,2016-03-25,Good Friday
10018436,Pink Cab,LOS ANGELES CA,34.24,512.65,369.792," 1,595,037 "," 144,132 ",8178,Cash,Male,21,21936,2016-03-25,Good Friday
10018443,Pink Cab,LOS ANGELES CA,5.88,88.88,65.856," 1,595,037 "," 144,132 ",6181,Card,Female,59,20186,2016-03-25,Good Friday
10018453,Pink Cab,LOS ANGELES CA,32.67,479.83,356.103," 1,595,037 "," 144,132 ",6207,Card,Female,32,7393,2016-03-25,Good Friday
10018457,Pink Cab,LOS ANGELES CA,12.48,174.4,141.024," 1,595,037 "," 144,132 ",8931,Card,Male,52,9828,2016-03-25,Good Friday
10018480,Pink Cab,NASHVILLE TN,31.2,471.7,346.32," 327,225 "," 9,270 ",56543,Card,Male,36,22165,2016-03-25,Good Friday
10018491,Pink Cab,NEW YORK NY,21.63,437.82,255.234," 8,405,837 "," 302,149 ",2490,Card,Male,28,14705,2016-03-25,Good Friday
10018495,Pink Cab,NEW YORK NY,8.32,160.54,96.512," 8,405,837 "," 302,149 ",2641,Card,Male,40,9541,2016-03-25,Good Friday
10018509,Pink Cab,NEW YORK NY,25.65,494.93,287.28," 8,405,837 "," 302,149 ",996,Card,Male,26,8639,2016-03-25,Good Friday
10018520,Pink Cab,PITTSBURGH PA,34.88,446.96,352.288," 542,085 "," 3,643 ",49114,Card,Male,21,2058,2016-03-25,Good Friday
10018532,Pink Cab,SAN DIEGO CA,9.27,138.55,101.97," 959,307 "," 69,995 ",20655,Card,Male,38,9358,2016-03-25,Good Friday
10018534,Pink Cab,SAN DIEGO CA,4.4,60.23,45.32," 959,307 "," 69,995 ",18120,Cash,Female,27,18964,2016-03-25,Good Friday
10018542,Pink Cab,SAN DIEGO CA,16.65,220.94,168.165," 959,307 "," 69,995 ",18906,Cash,Female,32,14771,2016-03-25,Good Friday
10018551,Pink Cab,SAN DIEGO CA,36.48,524.84,408.576," 959,307 "," 69,995 ",18085,Card,Male,46,28334,2016-03-25,Good Friday
10018563,Pink Cab,SAN DIEGO CA,3.12,45.32,32.136," 959,307 "," 69,995 ",19316,Card,Male,37,6402,2016-03-25,Good Friday
10018566,Pink Cab,SAN DIEGO CA,41.04,556.05,467.856," 959,307 "," 69,995 ",20736,Card,Female,29,15906,2016-03-25,Good Friday
10018725,Pink Cab,SEATTLE WA,42.84,474.66,432.684," 671,238 "," 25,063 ",36379,Card,Female,47,3609,2016-03-25,Good Friday
10018731,Pink Cab,SEATTLE WA,37.37,482.31,433.492," 671,238 "," 25,063 ",36085,Card,Female,33,7222,2016-03-25,Good Friday
10018739,Pink Cab,SILICON VALLEY,13.56,256.11,136.956," 1,177,609 "," 27,247 ",12393,Cash,Female,23,10679,2016-03-25,Good Friday
10018741,Pink Cab,SILICON VALLEY,23.32,368.37,258.852," 1,177,609 "," 27,247 ",12369,Card,Male,29,21304,2016-03-25,Good Friday
10018778,Yellow Cab,ATLANTA GA,6.36,121.45,76.32," 814,885 "," 24,701 ",28615,Card,Female,22,16920,2016-03-25,Good Friday
10018795,Yellow Cab,ATLANTA GA,39.14,747.43,521.3448," 814,885 "," 24,701 ",28811,Cash,Female,40,34651,2016-03-25,Good Friday
10018818,Yellow Cab,BOSTON MA,6.18,125.47,76.3848," 248,968 "," 80,021 ",57139,Card,Male,22,19360,2016-03-25,Good Friday
10018822,Yellow Cab,BOSTON MA,39.0,730.89,496.08," 248,968 "," 80,021 ",57990,Card,Male,57,8992,2016-03-25,Good Friday
10018825,Yellow Cab,BOSTON MA,32.48,583.34,428.736," 248,968 "," 80,021 ",59047,Cash,Male,37,10187,2016-03-25,Good Friday
10018826,Yellow Cab,BOSTON MA,26.68,572.92,342.5712," 248,968 "," 80,021 ",59786,Cash,Male,24,22725,2016-03-25,Good Friday
10018828,Yellow Cab,BOSTON MA,13.44,275.49,172.5696," 248,968 "," 80,021 ",59566,Card,Male,40,20147,2016-03-25,Good Friday
10018834,Yellow Cab,BOSTON MA,24.42,500.56,345.7872," 248,968 "," 80,021 ",58771,Card,Female,39,12854,2016-03-25,Good Friday
10018836,Yellow Cab,BOSTON MA,31.68,667.92,395.3664," 248,968 "," 80,021 ",58075,Card,Female,32,8662,2016-03-25,Good Friday
10018845,Yellow Cab,BOSTON MA,23.73,477.15,341.712," 248,968 "," 80,021 ",58615,Cash,Male,29,8720,2016-03-25,Good Friday
10018848,Yellow Cab,BOSTON MA,27.37,582.4,348.1464," 248,968 "," 80,021 ",57329,Cash,Female,40,15285,2016-03-25,Good Friday
10018852,Yellow Cab,BOSTON MA,27.25,516.01,327.0," 248,968 "," 80,021 ",58656,Card,Male,51,20735,2016-03-25,Good Friday
10018855,Yellow Cab,BOSTON MA,41.42,832.85,526.8624," 248,968 "," 80,021 ",58978,Card,Female,22,19440,2016-03-25,Good Friday
10018857,Yellow Cab,BOSTON MA,27.84,521.74,370.8288," 248,968 "," 80,021 ",58396,Card,Male,61,11021,2016-03-25,Good Friday
10018873,Yellow Cab,BOSTON MA,31.8,633.2,412.128," 248,968 "," 80,021 ",57427,Card,Female,20,24032,2016-03-25,Good Friday
10018878,Yellow Cab,BOSTON MA,2.16,41.75,29.2896," 248,968 "," 80,021 ",59673,Cash,Male,32,21466,2016-03-25,Good Friday
10018879,Yellow Cab,BOSTON MA,33.32,650.46,419.832," 248,968 "," 80,021 ",58775,Cash,Female,54,15503,2016-03-25,Good Friday
10018893,Yellow Cab,BOSTON MA,36.63,679.32,439.56," 248,968 "," 80,021 ",58870,Card,Female,24,2552,2016-03-25,Good Friday
10018899,Yellow Cab,BOSTON MA,42.55,888.79,551.448," 248,968 "," 80,021 ",58931,Cash,Male,39,6823,2016-03-25,Good Friday
10018911,Yellow Cab,BOSTON MA,5.95,116.15,81.396," 248,968 "," 80,021 ",58833,Card,Male,58,22976,2016-03-25,Good Friday
10018914,Yellow Cab,BOSTON MA,24.0,431.04,331.2," 248,968 "," 80,021 ",59938,Card,Female,25,19273,2016-03-25,Good Friday
10018916,Yellow Cab,BOSTON MA,42.18,765.78,566.8992," 248,968 "," 80,021 ",58854,Cash,Female,22,11065,2016-03-25,Good Friday
10018928,Yellow Cab,BOSTON MA,8.0,159.3,105.6," 248,968 "," 80,021 ",58607,Card,Female,27,23719,2016-03-25,Good Friday
10018943,Yellow Cab,BOSTON MA,10.26,188.27,137.8944," 248,968 "," 80,021 ",58157,Cash,Female,51,2047,2016-03-25,Good Friday
10018958,Yellow Cab,CHICAGO IL,21.0,251.87,254.52," 1,955,130 "," 164,468 ",5763,Card,Male,30,3573,2016-03-25,Good Friday
10018961,Yellow Cab,CHICAGO IL,46.8,673.58,572.832," 1,955,130 "," 164,468 ",4913,Card,Male,19,20129,2016-03-25,Good Friday
10018962,Yellow Cab,CHICAGO IL,17.6,232.2,232.32," 1,955,130 "," 164,468 ",5925,Card,Male,61,9348,2016-03-25,Good Friday
10018970,Yellow Cab,CHICAGO IL,33.0,435.38,467.28," 1,955,130 "," 164,468 ",4751,Card,Female,22,26677,2016-03-25,Good Friday
10018973,Yellow Cab,CHICAGO IL,22.8,325.12,322.848," 1,955,130 "," 164,468 ",4367,Card,Male,40,20197,2016-03-25,Good Friday
10018998,Yellow Cab,CHICAGO IL,10.78,156.59,133.2408," 1,955,130 "," 164,468 ",4695,Cash,Male,34,32209,2016-03-25,Good Friday
10019005,Yellow Cab,CHICAGO IL,12.65,163.52,160.908," 1,955,130 "," 164,468 ",4764,Card,Male,35,22205,2016-03-25,Good Friday
10019018,Yellow Cab,CHICAGO IL,18.43,250.52,234.4296," 1,955,130 "," 164,468 ",4765,Card,Female,23,27566,2016-03-25,Good Friday
10019024,Yellow Cab,CHICAGO IL,40.8,494.79,548.352," 1,955,130 "," 164,468 ",3455,Card,Female,23,9680,2016-03-25,Good Friday
10019028,Yellow Cab,CHICAGO IL,45.2,542.13,618.336," 1,955,130 "," 164,468 ",3741,Cash,Male,30,16371,2016-03-25,Good Friday
10019044,Yellow Cab,CHICAGO IL,31.31,383.88,417.0492," 1,955,130 "," 164,468 ",5943,Card,Female,59,2894,2016-03-25,Good Friday
10019046,Yellow Cab,CHICAGO IL,8.72,125.5,108.8256," 1,955,130 "," 164,468 ",5237,Card,Male,55,5278,2016-03-25,Good Friday
10019050,Yellow Cab,CHICAGO IL,44.08,646.18,565.9872," 1,955,130 "," 164,468 ",4074,Card,Male,25,10416,2016-03-25,Good Friday
10019052,Yellow Cab,CHICAGO IL,34.56,419.12,456.192," 1,955,130 "," 164,468 ",4820,Card,Male,29,8613,2016-03-25,Good Friday
10019059,Yellow Cab,CHICAGO IL,9.12,122.75,117.1008," 1,955,130 "," 164,468 ",3138,Card,Male,35,34392,2016-03-25,Good Friday
10019063,Yellow Cab,CHICAGO IL,25.44,332.25,314.4384," 1,955,130 "," 164,468 ",5989,Cash,Female,25,7165,2016-03-25,Good Friday
10019071,Yellow Cab,CHICAGO IL,9.18,119.89,118.9728," 1,955,130 "," 164,468 ",3553,Card,Male,24,7754,2016-03-25,Good Friday
10019078,Yellow Cab,CHICAGO IL,41.65,543.95,544.782," 1,955,130 "," 164,468 ",3730,Card,Female,38,12423,2016-03-25,Good Friday
10019086,Yellow Cab,CHICAGO IL,40.28,520.69,546.1968," 1,955,130 "," 164,468 ",3532,Cash,Female,29,23700,2016-03-25,Good Friday
10019090,Yellow Cab,CHICAGO IL,9.6,139.45,125.568," 1,955,130 "," 164,468 ",5554,Card,Male,43,5350,2016-03-25,Good Friday
10019118,Yellow Cab,CHICAGO IL,17.1,232.44,246.24," 1,955,130 "," 164,468 ",3086,Cash,Female,65,2498,2016-03-25,Good Friday
10019121,Yellow Cab,CHICAGO IL,8.72,127.83,114.0576," 1,955,130 "," 164,468 ",4425,Card,Male,22,5057,2016-03-25,Good Friday
10019141,Yellow Cab,CHICAGO IL,12.21,156.21,165.5676," 1,955,130 "," 164,468 ",4549,Cash,Female,39,14199,2016-03-25,Good Friday
10019144,Yellow Cab,CHICAGO IL,13.09,174.45,171.2172," 1,955,130 "," 164,468 ",5024,Card,Male,30,18723,2016-03-25,Good Friday
10019145,Yellow Cab,CHICAGO IL,14.42,199.86,186.8832," 1,955,130 "," 164,468 ",5351,Card,Female,26,14825,2016-03-25,Good Friday
